Platform,Title,Company,Budget,Link,Image_Path
Guru,"Front End Developer HTML5, CSS3, Jquery",Heena Trivedi,$12/hr   ·   Starting at $25,https://www.guru.com/service/front-end-developer-html5-css3-jquery/india/rajasthan/udaipur/3538919,image2/service_143.jpg
Guru,Wordpress design and development,PHILIP LAKRA,$10/hr   ·   Starting at $25,https://www.guru.com/service/wordpress-design-and-development/india/west-bengal/kolkata/3821969,image2/service_144.jpg
Guru,Software Overengineering,Andrew Tropin,"$200/hr   ·   Starting at $5,000",https://www.guru.com/service/software-overengineering/georgia/tbilisi/tbilisi/5485448,image2/service_145.jpg
Guru,Professional Virtual Assistant,Christy Maximarie Mayor Espacio,$8/hr   ·   Starting at $25,https://www.guru.com/service/professional-virtual-assistant/philippines/davao-del-sur/digos-city/4351546,image2/service_146.jpg
Guru,Telemarketing Expert/Project Manager,Kevin Jones KJ,$10/hr   ·   Starting at $25,https://www.guru.com/service/telemarketing-expert-project-manager/jamaica/saint-catherine/portmore/4018449,image2/service_147.jpg
Guru,Software Design and Development,Sunil 2060,$25/hr   ·   Starting at $200,https://www.guru.com/service/software-design-and-development/india/maharashtra/pune/1204917,image2/service_148.jpg
Guru,Programming,kiki76,"$29/hr   ·   Starting at $3,890",https://www.guru.com/service/programming/slovenia/koper-capodistria/koper/36205,image2/service_149.jpg
Guru,Expert Web3 Development Services,Xayyavong Sida,$25/hr   ·   Starting at $200,https://www.guru.com/service/expert-web3-development-services/laos/vientiane/vientiane/5450126,image2/service_150.jpg
Guru,3d Animator Modeler and 3d Artist,Neepa Aktar,$30/hr   ·   Starting at $150,https://www.guru.com/service/3d-animator-modeler-and-3d-artist/bangladesh/khulna/jhenaidah/5094689,image2/service_151.jpg
Guru,Customer Service/ Virtual Assistance,Muhammad Fareed Nazir,$7/hr   ·   Starting at $250,https://www.guru.com/service/customer-service-virtual-assistance/pakistan/sindh/karachi/5280939,image2/service_152.jpg
Guru,Atlassian Solutions Achitect,João Paulo Lima,$5/hr   ·   Starting at $25,https://www.guru.com/service/atlassian-solutions-achitect/brazil/minas-gerais/belo-horizonte/5643148,image2/service_153.jpg
Guru,Architecture,O.D.O,$12/hr   ·   Starting at $100,https://www.guru.com/service/architecture/germany/hessen/darmstadt/4622283,image2/service_154.jpg
Guru,Laravel,Nilesh Muka,$15/hr   ·   Starting at $25,https://www.guru.com/service/laravel/india/karnataka/bengaluru/5562011,image2/service_155.jpg
Guru,PROOFREADING or EDITING or EDITOR,Cindy Calzone,$40/hr   ·   Starting at $40,https://www.guru.com/service/proofreading-or-editing-or-editor/united-states/connecticut/waterbury/3704002,image2/service_156.jpg
Guru,Full Stack Web Development,AstroSoft,$40/hr   ·   Starting at $300,https://www.guru.com/service/full-stack-web-development/hong-kong/hong-kong/kowloon/5522201,image2/service_157.jpg
Guru,I will write engaging ad copy,Unique service100%,$5/hr   ·   Starting at $25,https://www.guru.com/service/i-will-write-engaging-ad-copy/pakistan/punjab/bhakkar/5459000,image2/service_158.jpg
Guru,Amazon Listing Manager,Hazzle Ann C. Ranan,$13/hr   ·   Starting at $500,https://www.guru.com/service/amazon-listing-manager/philippines/calabarzon/angono/5482315,image2/service_159.jpg
Guru,GHL Landing Page Design & Development,Top Guru Providers,$12/hr   ·   Starting at $250,https://www.guru.com/service/ghl-landing-page-design-development/india/punjab/mohali/5632137,image2/service_160.jpg
Guru,Web/Application Developer,junaidp,$15/hr   ·   Starting at $25,https://www.guru.com/service/web-application-developer/pakistan/islamabad/islamabad/2460993,image2/service_161.jpg
Guru,"3D design, CAD",Oscar B,$16/hr   ·   Starting at $200,https://www.guru.com/service/3d-design-cad/colombia/antioquia/sabaneta/5078543,image2/service_162.jpg
Guru,Native Android & iPhone Mobile Apps,Shreya_SB Infowaves,$12/hr   ·   Starting at $500,https://www.guru.com/service/native-android-iphone-mobile-apps/india/west-bengal/kolkata/3939622,image2/service_163.jpg
Guru,"Virtual Assistant,Telemarketer Expert",Aldine13,$8/hr   ·   Starting at $25,https://www.guru.com/service/virtual-assistant-telemarketer-expert/philippines/metro-manila/caloocan/3775937,image2/service_164.jpg
Guru,Web Development,Top Guru Provider Zebra Techies Sol,$12/hr   ·   Starting at $299,https://www.guru.com/service/web-development/india/west-bengal/kolkata/31463,image2/service_165.jpg
Guru,VIDEO EDITING,youssefsobhy.99,$5/hr   ·   Starting at $25,https://www.guru.com/service/video-editing/egypt/al-qahirah/cairo/5520111,image2/service_166.jpg
Guru,Software Development,Nicholas Melnyk,$50/hr   ·   Starting at $70,https://www.guru.com/service/software-development/united-states/south-carolina/huger/5409940,image2/service_167.jpg
Guru,Legal and administrative advice,Francheska Mendoza,$10/hr   ·   Starting at $25,https://www.guru.com/service/legal-and-administrative-advice/colombia/antioquia/medelln/5507814,image2/service_168.jpg
Guru,Data Entry Specialist,Sayyed Haseeb,$5/hr   ·   Starting at $150,https://www.guru.com/service/data-entry-specialist/pakistan/sindh/karachi/5502296,image2/service_169.jpg
Guru,PATENT PROSECUTION,"Usha S. Koshy, Ph.D., J.D.",$150/hr   ·   Starting at $250,https://www.guru.com/service/patent-prosecution/united-states/texas/euless/31060,image2/service_170.jpg
Guru,Full Stack Web/E-commerce/Blockchain/AI,Man Kin Fung,"$65/hr   ·   Starting at $1,000",https://www.guru.com/service/full-stack-webe-commerceblockchainai/united-states/new-york/staten-island/5570359,image2/service_171.jpg
Guru,BIM Architectural Modeling,aylar afsharizand,$13/hr   ·   Starting at $50,https://www.guru.com/service/bim-architectural-modeling/turkey/ankara/cankaya/5565748,image2/service_172.jpg
Guru,Web Development,Pand Systems,$20/hr   ·   Starting at $100,https://www.guru.com/service/web-development/india/delhi/delhi/5123618,image2/service_172.jpg
Guru,Manual Tester,Pedro Fonseca,$5/hr   ·   Starting at $25,https://www.guru.com/service/manual-tester/portugal/lisboa/cacem-e-sao-marcos/5429026,image2/service_173.jpg
Guru,MOBILE APP DESIGN & DEVELOPMENT,DevelopSoftTech,"$30/hr   ·   Starting at $1,000",https://www.guru.com/service/mobile-app-design-development/india/punjab/chandigarh/3837708,image2/service_174.jpg
Guru,Digital Marketing & Lead Generation,Clinical Orbit,$8/hr   ·   Starting at $25,https://www.guru.com/service/digital-marketing-lead-generation/india/madhya-pradesh/indore/4522956,image2/service_175.jpg
Guru,High Quality eBook Content,Evelyn. Brad,$20/hr   ·   Starting at $25,https://www.guru.com/service/high-quality-ebook-content/united-states/new-york/new-york/5082347,image2/service_176.jpg
Guru,Custom SaaS & Web App Development,Digitech Software Solutions Pvt Ltd,$15/hr   ·   Starting at $250,https://www.guru.com/service/custom-saas-web-app-development/india/tamil-nadu/madurai/5648531,image2/service_177.jpg
Guru,Web Content Researcher,CDMSoftech Solution Pvt Ltd,$8/hr   ·   Starting at $25,https://www.guru.com/service/web-content-researcher/india/uttar-pradesh/ghaziabad/3788454,image2/service_177.jpg
Guru,Graphic Designer,mtahakhan67,$15/hr   ·   Starting at $25,https://www.guru.com/service/graphic-designer/pakistan/sindh/karachi/5346524,image2/service_178.jpg
Guru,Cinematographer,tarek abdallaah,"$100/hr   ·   Starting at $1,000",https://www.guru.com/service/cinematographer/egypt/al-qahirah/cairo/5574818,image2/service_179.jpg
Guru,User Experience Design,qualityexcellence,"$75/hr   ·   Starting at $6,000",https://www.guru.com/service/user-experience-design/india/telangana/hyderabad/5887,image2/service_179.jpg
Guru,Google Adwords & Google Analytics,Harsimran Kaur Geeks,$10/hr   ·   Starting at $100,https://www.guru.com/service/google-adwords-google-analytics/india/chandigarh/chandigarh/3763084,image2/service_180.jpg
Guru,Costumer Service,Christian David Alvarez Tobon 1,$8/hr   ·   Starting at $25,https://www.guru.com/service/costumer-service/colombia/valle-del-cauca/cali/4265959,image2/service_181.jpg
Guru,Copywriting,Caroline Brammer,$40/hr   ·   Starting at $80,https://www.guru.com/service/copywriting/united-states/new-york/new-york/5429090,image2/service_182.jpg
Guru,Schematic/PCB Layout,Outland-Technologies-Inc,$65/hr   ·   Starting at $250,https://www.guru.com/service/schematic-pcb-layout/united-states/texas/pottsboro/19461,image2/service_183.jpg
Guru,Wedding Album Design,Duminduhearath,$25/hr   ·   Starting at $50,https://www.guru.com/service/wedding-album-design/sri-lanka/western/negombo/3685311,image2/service_184.jpg
Guru,Architectural Illustration,LilyArt,$22/hr   ·   Starting at $110,https://www.guru.com/service/architectural-illustration/argentina/misiones/los-altos/10331,image2/service_185.jpg
Guru,Email Writing Expert,"Debbie, Your Write Choice",$25/hr   ·   Starting at $25,https://www.guru.com/service/email-writing-expert/canada/saskatchewan/sk/4358425,image2/service_186.jpg
Guru,Microsoft power Apps Development,Artful Pro,$10/hr   ·   Starting at $50,https://www.guru.com/service/microsoft-power-apps-development/pakistan/punjab/multan/5477221,image2/service_187.jpg
Guru,Illustration,eminencesystem,$10/hr   ·   Starting at $25,https://www.guru.com/service/illustration/india/west-bengal/kolkata/3583291,image2/service_188.jpg
Guru,Blockchain Development,Milos Milic 1,$55/hr   ·   Starting at $35,https://www.guru.com/service/blockchain-development/serbia/serbia/beograd/5337801,image2/service_189.jpg
Guru,Programming,PHP Dev STRIPE Laravel Codeignitor,$15/hr   ·   Starting at $120,https://www.guru.com/service/programming/india/tamil-nadu/chennai/849682,image2/service_190.jpg
Guru,Data Entry,Bahar Ud Din,$10/hr   ·   Starting at $50,https://www.guru.com/service/data-entry/pakistan/north-west-frontier/talash/5237290,image2/service_191.jpg
Guru,Best Graphic Design,Julie Design,$50/hr   ·   Starting at $100,https://www.guru.com/service/best-graphic-design/united-states/washington/lynnwood/3895070,image2/service_192.jpg
Guru,Comic art,Atula Siriwardane,$20/hr   ·   Starting at $100,https://www.guru.com/service/comic-art/sri-lanka/western/horana/4336,image2/service_193.jpg
Guru,Architect,Fedar Haroshka,$40/hr   ·   Starting at $100,https://www.guru.com/service/architect/belarus/minsk/minsk/4083938,image2/service_194.jpg
Guru,PHP Development Services,Visionary Leader,$5/hr   ·   Starting at $25,https://www.guru.com/service/php-development-services/pakistan/punjab/bhakkar/5407221,image2/service_195.jpg
Guru,Full Stack Developer,Sr. Full Stack Developer-skydev55,$40/hr   ·   Starting at $200,https://www.guru.com/service/full-stack-developer/united-states/arkansas/cabot/4024715,image2/service_196.jpg
Guru,Independent Marketing Consultant,Marla Gail Sinclair,$18/hr   ·   Starting at $300,https://www.guru.com/service/independent-marketing-consultant/united-states/georgia/bethlehem/4128948,image2/service_197.jpg
Guru,"Bookkeeper, Data Entry Specialist","Accountant, Bookkeeper & Auditor",$8/hr   ·   Starting at $25,https://www.guru.com/service/bookkeeper-data-entry-specialist/philippines/zamboanga-peninsula/pagadian-city/4401458,image2/service_198.jpg
Guru,IT Project Manager,Julian Felipe Garcia Galindo,"$6/hr   ·   Starting at $1,000",https://www.guru.com/service/it-project-manager/colombia/cundinamarca/bogota/5626671,image2/service_199.jpg
Guru,"CRM Manager, Social Media Manager, EA",Anthony Descartin,$8/hr   ·   Starting at $25,https://www.guru.com/service/crm-manager-social-media-manager-ea/philippines/negros-occidental/sagay-city/5502150,image2/service_200.jpg
Guru,Custom Web & Mobile Development,Maksym Khasanov 19,$15/hr   ·   Starting at $50,https://www.guru.com/service/custom-web-mobile-development/ukraine/dnipropetrovska-oblast/kryvyi-rih/5580480,image2/service_201.jpg
Guru,Data Science & Quant Finance R&D,Ralph Bradley,$80/hr   ·   Starting at $400,https://www.guru.com/service/data-science-quant-finance-rd/united-kingdom/england/york/3639478,image2/service_202.jpg
Guru,"Contract drafting, Legal Attorney,",Ankit Singh 208,$15/hr   ·   Starting at $30,https://www.guru.com/service/contract-drafting-legal-attorney/india/rajasthan/jodhpur/5243996,image2/service_203.jpg
Guru,Full Stack Development,Hemant Kumar (Full Stack Developer),$15/hr   ·   Starting at $500,https://www.guru.com/service/full-stack-development/india/punjab/mohali/5515897,image2/service_204.jpg
Guru,Custom Logo Design,Farishteh Mirza,$50/hr   ·   Starting at $100,https://www.guru.com/service/custom-logo-design/united-states/texas/sugar-land/4911420,image2/service_205.jpg
Guru,Branding & Logo Design,Waqar Lodhi,$15/hr   ·   Starting at $25,https://www.guru.com/service/branding-logo-design/australia/victoria/heidelberg-west/5176174,image2/service_206.jpg
Guru,Website Design and Development,Creative Knot,$9/hr   ·   Starting at $25,https://www.guru.com/service/website-design-and-development/india/west-bengal/kolkata/3561113,image2/service_207.jpg
Guru,Structural engineer,Valentin H,$20/hr   ·   Starting at $400,https://www.guru.com/service/structural-engineer/united-states/new-york/toronto/3025814,image2/service_208.jpg
Guru,Creative Writing,Paul Deines,$45/hr   ·   Starting at $250,https://www.guru.com/service/creative-writing/united-states/new-york/white-plains/6450,image2/service_209.jpg
Guru,Voice Talent-Female,Marketer&Dietitian,$70/hr   ·   Starting at $120,https://www.guru.com/service/voice-talent-female/united-states/florida/jacksonville/3313204,image2/service_210.jpg
Guru,HOT ROMANCE GHOSTWRITER,Noemi Jane,$15/hr   ·   Starting at $100,https://www.guru.com/service/hot-romance-ghostwriter/canada/alberta/darlington/4779989,image2/service_211.jpg
Guru,Website and hosting Solution,Gul Muhammad Danial,$40/hr   ·   Starting at $200,https://www.guru.com/service/website-and-hosting-solution/pakistan/sindh/karachi/5603687,image2/service_212.jpg
Guru,Ebook writing; Fiction,Sophie Frank,$15/hr   ·   Starting at $100,https://www.guru.com/service/ebook-writing-fiction/united-kingdom/england/manchester/4824326,image2/service_212.jpg
Guru,Reflowable / Fixed eBook / eBook Cover,DavorN,$20/hr   ·   Starting at $30,https://www.guru.com/service/reflowable-fixed-ebook-ebook-cover/serbia/central-serbia/beograd/4160259,image2/service_213.jpg
Guru,Software development,Yury Zakharin,$40/hr   ·   Starting at $40,https://www.guru.com/service/software-development/russian-federation/moscow/moscow/5433678,image2/service_214.jpg
Guru,Programming,"Smart Software Solutions, Inc.","$65/hr   ·   Starting at $2,000",https://www.guru.com/service/programming/united-states/south-dakota/pierre/13629,image2/service_215.jpg
Guru,Web Development - Full Stack .NET,StephenWhite,$60/hr   ·   Starting at $250,https://www.guru.com/service/web-development-full-stack-net/united-states/washington/vancouver/213,image2/service_216.jpg
Guru,"Modern, Fast, and High-Converting Websit",Abdulhamid Abdulazeez,$12/hr   ·   Starting at $80,https://www.guru.com/service/modern-fast-and-high-converting-websit/nigeria/kwara/ilorin/5640738,image2/service_217.jpg
Guru,myDev IT Solutions,myDevITSolutions Pvt. Ltd.,$20/hr   ·   Starting at $250,https://www.guru.com/service/mydev-it-solutions/india/uttar-pradesh/shikohabad/3558534,image2/service_217.jpg
Guru,Sr AI Full-Stack Web Developer,Oleksandr Rekovskyi,$35/hr   ·   Starting at $500,https://www.guru.com/service/sr-ai-full-stack-web-developer/ukraine/kiev/kyiv/5567934,image2/service_218.jpg
Guru,Creative & General Virtual Assistant,Irfa.Rahat,$5/hr   ·   Starting at $25,https://www.guru.com/service/creative-general-virtual-assistant/pakistan/punjab/gujranwala/5486182,image2/service_218.jpg
Guru,Executive Assistant,Santiago Ortegon M,$8/hr   ·   Starting at $25,https://www.guru.com/service/executive-assistant/colombia/cundinamarca/bogota/5600817,image2/service_219.jpg
Guru,GRAPHIC DESIGN,Thomas Thanos,$10/hr   ·   Starting at $25,https://www.guru.com/service/graphic-design/greece/attiki/athens/4759205,image2/service_219.jpg
Guru,ADMINISTRATIVE WORKS,JOANA SAS,$20/hr   ·   Starting at $25,https://www.guru.com/service/administrative-works/philippines/agusan-del-sur/city-of-bayugan/5215739,image2/service_219.jpg
Guru,Xml databases,Art Crafts,$5/hr   ·   Starting at $25,https://www.guru.com/service/xml-databases/pakistan/punjab/kallur-kot/5385351,image2/service_220.jpg
Guru,"Editor, Reviewer",Berna Gurkan,$18/hr   ·   Starting at $30,https://www.guru.com/service/editor-reviewer/turkey/istanbul/istanbul/4102796,image2/service_221.jpg
Guru,Web Development,BuzzyBrains Software,"$15/hr   ·   Starting at $1,000",https://www.guru.com/service/web-development/india/maharashtra/pune/3830254,image2/service_222.jpg
Guru,Wordpress Development,aptecsol Inc.,$25/hr   ·   Starting at $100,https://www.guru.com/service/wordpress-development/canada/saskatchewan/regina/1535728,image2/service_222.jpg
Guru,"Creative, Content and Technical Writing",Heemab,$20/hr   ·   Starting at $50,https://www.guru.com/service/creative-content-and-technical-writing/nigeria/osun/ede/5510382,image2/service_223.jpg
Guru,"SEO ranking, Traffic, On page ,Off page",W3ERA - Organic SEO Result Expert,$10/hr   ·   Starting at $100,https://www.guru.com/service/seo-ranking-traffic-on-page-off-page/india/rajasthan/jaipur/4131988,image2/service_224.jpg
Guru,WordPress and PHP Developer,UmarShafiq9433,$20/hr   ·   Starting at $100,https://www.guru.com/service/wordpress-and-php-developer/pakistan/punjab/lahore/5482976,image2/service_225.jpg
Guru,Expert .NET Developer,Oliver Brown 4,$40/hr   ·   Starting at $100,https://www.guru.com/service/expert-net-developer/united-kingdom/england/london/5580829,image2/service_226.jpg
Guru,2d Animation and Motion Graphics,Asit Kumar 1,$8/hr   ·   Starting at $100,https://www.guru.com/service/2d-animation-and-motion-graphics/india/west-bengal/kolkata/3724893,image2/service_226.jpg
Guru,Medical Billing and Coding Support,Daisy Bugtong,$8/hr   ·   Starting at $25,https://www.guru.com/service/medical-billing-and-coding-support/philippines/rizal/antipolo-rizal/3553731,image2/service_227.jpg
Guru,T-shirt Design,skewness,$20/hr   ·   Starting at $70,https://www.guru.com/service/t-shirt-design/philippines/baguio/baguio/2977249,image2/service_228.jpg
Guru,Data and Research,YouWin1977,$8/hr   ·   Starting at $25,https://www.guru.com/service/data-and-research/india/tamil-nadu/chennai/4950264,image2/service_229.jpg
Guru,Administrative Virtual Assistance,WorkinGuru,$10/hr   ·   Starting at $600,https://www.guru.com/service/administrative-virtual-assistance/pakistan/punjab/lahore/5146019,image2/service_230.jpg
Guru,Odoo Developer,Parth 255,$15/hr   ·   Starting at $250,https://www.guru.com/service/odoo-developer/india/gujarat/ahmedabad/5213812,image2/service_231.jpg
Guru,Lead Generation,Angelika Arndt,$30/hr   ·   Starting at $25,https://www.guru.com/service/lead-generation/germany/bayern/regensburg/5645984,image2/service_231.jpg
Guru,Programming,MarceloAptrafx,$35/hr   ·   Starting at $25,https://www.guru.com/service/programming/ireland/dublin/dublin/3313329,image2/service_232.jpg
Guru,Web Design,Variancesol,$17/hr   ·   Starting at $25,https://www.guru.com/service/web-design/india/west-bengal/kolkata/6368,image2/service_233.jpg
Guru,"Brochures, ads, banners, and flyers",Creative Pastels / Andy Highland,$14/hr   ·   Starting at $70,https://www.guru.com/service/brochures-ads-banners-and-flyers/canada/british-columbia/vancouver/3645728,image2/service_234.jpg
Guru,Branding & Logo Design,Dezine Corp DC,$15/hr   ·   Starting at $30,https://www.guru.com/service/branding-logo-design/australia/victoria/heidelberg-west/5180805,image2/service_235.jpg
Guru,Writing and Translation,Laura Monroe,$30/hr   ·   Starting at $30,https://www.guru.com/service/writing-and-translation/united-states/new-york/brooklyn/5020410,image2/service_236.jpg
Guru,Social Media Marketing Manager,Reagan Narwid,$12/hr   ·   Starting at $25,https://www.guru.com/service/social-media-marketing-manager/united-states/new-jersey/mansfield/5469710,image2/service_237.jpg
Guru,Mobile App Development,Chirag Panchal,$10/hr   ·   Starting at $400,https://www.guru.com/service/mobile-app-development/india/gujarat/ahmedabad/4050974,image2/service_238.jpg
Guru,"B2B Sales, Lead Generation & Cold Callin",jose Palomino,$5/hr   ·   Starting at $50,https://www.guru.com/service/b2b-sales-lead-generation-cold-callin/colombia/cundinamarca/bogota/5637006,image2/service_239.jpg
Guru,Programming,ninetypctnerd,$50/hr   ·   Starting at $100,https://www.guru.com/service/programming/united-states/north-carolina/high-point/34713,image2/service_239.jpg
Guru,Logo Design I Graphic Design,Desi9nStudio,$25/hr   ·   Starting at $25,https://www.guru.com/service/logo-design-i-graphic-design/pakistan/islamabad/islamabad/227525,image2/service_240.jpg
